question_id,question,sub_question,column_name,question_format,system_prompt_id,model_answer,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_research_assistant,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.06864670622394602, 0.44763275449279133, 0.32179070103920465, 0.11838019738448766, 0.04354964085957036]","[0.0137524557956778, 0.047151277013752456, 0.4764243614931238, 0.4056974459724951, 0.05697445972495088]",0.5737319321690529,1.659183500843892,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,survey_respondent,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.24904027863383138, 0.24904027863383138, 0.24904027863383138, 0.1352408661865812, 0.11763829791192469]","[0.0137524557956778, 0.047151277013752456, 0.4764243614931238, 0.4056974459724951, 0.05697445972495088]",0.595121432085761,1.6805730007605997,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,values_reflection,Disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.26535968673166355, 0.26535968673166355, 0.23331521112658377, 0.1253470404578715, 0.11061837495221757]","[0.0137524557956778, 0.047151277013752456, 0.4764243614931238, 0.4056974459724951, 0.05697445972495088]",0.6566570650796097,1.7421086337544487,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_opinion_simulator,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.06975791058194838, 0.35425989581438866, 0.3056904266938082, 0.21009775289569202, 0.060194014014162654]","[0.0137524557956778, 0.047151277013752456, 0.4764243614931238, 0.4056974459724951, 0.05697445972495088]",0.3578178411099871,1.4432694097848258,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,civic_participant,Disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.24790642953777, 0.24790642953777, 0.31605805416631655, 0.11710270552308968, 0.07102638123505382]","[0.0137524557956778, 0.047151277013752456, 0.4764243614931238, 0.4056974459724951, 0.05697445972495088]",0.5690321481725358,1.6544837168473745,Disagree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_research_assistant,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.13279008083582888, 0.5251949420964993, 0.19370932029812174, 0.05549864946193887, 0.09150180386302884, 0.0013052034445823286]","[0.2235294117647059, 0.31666666666666665, 0.1803921568627451, 0.09019607843137255, 0.050980392156862744, 0.13823529411764707]",0.6018697107094142,2.2521089403204257,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,survey_respondent,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.15240091487763419, 0.46942786579661155, 0.18679458450779682, 0.060643322749634, 0.128381915268423, 0.0023513967999005043]","[0.2235294117647059, 0.31666666666666665, 0.1803921568627451, 0.09019607843137255, 0.050980392156862744, 0.13823529411764707]",0.5065513024715955,2.156790532082607,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,values_reflection,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.34813230048267824, 0.3944855777545424, 0.1181751575988553, 0.05582199181459742, 0.08122051883712675, 0.002164453512199885]","[0.2235294117647059, 0.31666666666666665, 0.1803921568627451, 0.09019607843137255, 0.050980392156862744, 0.13823529411764707]",0.5018349197292424,2.1520741493402538,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_opinion_simulator,Neither agree nor disagree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.36182091620056633, 0.36182091620056633, 0.16947828138338808, 0.04321335115425024, 0.06287505492631565, 0.0007914801349133119]","[0.2235294117647059, 0.31666666666666665, 0.1803921568627451, 0.09019607843137255, 0.050980392156862744, 0.13823529411764707]",0.6307540116653122,2.2809932412763234,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,civic_participant,Agree strongly,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.2489404818708737, 0.5286669904991169, 0.08516018753661801, 0.04022682421745057, 0.09649913476999951, 0.0005063811059413058]","[0.2235294117647059, 0.31666666666666665, 0.1803921568627451, 0.09019607843137255, 0.050980392156862744, 0.13823529411764707]",0.7647590657657725,2.4149982953767837,Agree
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_research_assistant,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.02963429680677495, 0.5952207826615121, 0.1250483068439043, 0.1250483068439043, 0.1250483068439043]","[0.0712890625, 0.6142578125, 0.12890625, 0.033203125, 0.15234375]",0.07188285644120167,1.2233099858515064,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,survey_respondent,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.04005723892710092, 0.43065585577352794, 0.1764289684331237, 0.1764289684331237, 0.1764289684331237]","[0.0712890625, 0.6142578125, 0.12890625, 0.033203125, 0.15234375]",0.14094549294586461,1.2923726223561693,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,values_reflection,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.032359747626617, 0.34790003973511613, 0.20658007087942226, 0.20658007087942226, 0.20658007087942226]","[0.0712890625, 0.6142578125, 0.12890625, 0.033203125, 0.15234375]",0.23762596226411997,1.3890530916744248,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_opinion_simulator,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.03796723211094387, 0.46253558278851786, 0.16649906170017942, 0.16649906170017942, 0.16649906170017942]","[0.0712890625, 0.6142578125, 0.12890625, 0.033203125, 0.15234375]",0.11911470842284089,1.2705418378331457,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,civic_participant,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.015338148723833378, 0.30807498006994755, 0.22552895706873968, 0.22552895706873968, 0.22552895706873968]","[0.0712890625, 0.6142578125, 0.12890625, 0.033203125, 0.15234375]",0.337928389926085,1.4893555193363897,Trust somewhat
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,ai_research_assistant,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.0440660511293289, 0.287346783015976, 0.19749036326195615, 0.47012325671595634, 0.0009735458767826501]","[0.029411764705882353, 0.2529411764705882, 0.4235294117647059, 0.15098039215686274, 0.14313725490196078]",0.8218278269471857,2.2008008155566654,Not very much
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,survey_respondent,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.1009962513727178, 0.1009962513727178, 0.12968175375275384, 0.6546573872164476, 0.013668356285362894]","[0.029411764705882353, 0.2529411764705882, 0.4235294117647059, 0.15098039215686274, 0.14313725490196078]",0.8119043714795223,2.190877360089002,Not very much
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,values_reflection,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.1915012366513216, 0.1025032254931396, 0.11615137140191123, 0.5874335216470588, 0.002410644806568851]","[0.029411764705882353, 0.2529411764705882, 0.4235294117647059, 0.15098039215686274, 0.14313725490196078]",1.1007372416378995,2.4797102302473797,Not very much
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,ai_opinion_simulator,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.04134538211167646, 0.26960579035068727, 0.18529714711885134, 0.5003578447850434, 0.003393835633741532]","[0.029411764705882353, 0.2529411764705882, 0.4235294117647059, 0.15098039215686274, 0.14313725490196078]",0.6786569442295309,2.057629932839011,Not very much
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,civic_participant,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.08232594394356654, 0.09328751602691869, 0.13573253491022455, 0.6878958092070558, 0.0007581959122343476]","[0.029411764705882353, 0.2529411764705882, 0.4235294117647059, 0.15098039215686274, 0.14313725490196078]",1.225145502983859,2.604118491593339,Not very much
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,ai_research_assistant,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.07492341580062056, 0.29632785783473414, 0.13997536868652286, 0.4845464688079841, 0.004226888870138367]","[0.18493150684931506, 0.4735812133072407, 0.25048923679060664, 0.053816046966731895, 0.03718199608610567]",0.4974816643240679,1.7899961789807914,Quite a lot
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,survey_respondent,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.1489217357062027, 0.07971206099162959, 0.07034564692374745, 0.6633672449159226, 0.03765331146249758]","[0.18493150684931506, 0.4735812133072407, 0.25048923679060664, 0.053816046966731895, 0.03718199608610567]",1.0664040757930207,2.3589185904497443,Quite a lot
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,values_reflection,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.19946019473743207, 0.03927603640023384, 0.05043142900465317, 0.6922796539379719, 0.018552685919709072]","[0.18493150684931506, 0.4735812133072407, 0.25048923679060664, 0.053816046966731895, 0.03718199608610567]",1.4549582167342403,2.747472731390964,Quite a lot
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,ai_opinion_simulator,quite a lot of confidence,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.08190421739062705, 0.2522827804785039, 0.11916993312438512, 0.5340826504640845, 0.012560418542399424]","[0.18493150684931506, 0.4735812133072407, 0.25048923679060664, 0.053816046966731895, 0.03718199608610567]",0.5517890433621797,1.844303558018903,Quite a lot
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,civic_participant,None at all,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.15512824812745335, 0.06466707482359899, 0.08303416769634905, 0.6930364815686317, 0.00413402778396681]","[0.18493150684931506, 0.4735812133072407, 0.25048923679060664, 0.053816046966731895, 0.03718199608610567]",1.1961591544295123,2.4886736690862357,Quite a lot
52,"Independently of whether you go to religious services or not, would you say you are:",,Q173,single_select,ai_research_assistant,Not a religious person,"['A religious person', 'Not a religious person', 'An atheist']","[0.1630140581073622, 0.5682211968678831, 0.2687647450247547]","[0.35446985446985446, 0.5041580041580042, 0.14137214137214138]",0.12421639228678066,1.11370360665471,Not a religious person
52,"Independently of whether you go to religious services or not, would you say you are:",,Q173,single_select,survey_respondent,Not a religious person,"['A religious person', 'Not a religious person', 'An atheist']","[0.2120465499679296, 0.5759069000641408, 0.2120465499679296]","[0.35446985446985446, 0.5041580041580042, 0.14137214137214138]",0.057737714705997985,1.0472249290739273,Not a religious person
52,"Independently of whether you go to religious services or not, would you say you are:",,Q173,single_select,values_reflection,A religious person,"['A religious person', 'Not a religious person', 'An atheist']","[0.23498196920156797, 0.49829822627287407, 0.26671980452555794]","[0.35446985446985446, 0.5041580041580042, 0.14137214137214138]",0.06187834687149299,1.0513655612394222,Not a religious person
52,"Independently of whether you go to religious services or not, would you say you are:",,Q173,single_select,ai_opinion_simulator,An atheist,"['A religious person', 'Not a religious person', 'An atheist']","[0.3097326554730422, 0.45065835454017356, 0.2396089899867843]","[0.35446985446985446, 0.5041580041580042, 0.14137214137214138]",0.029789678837277095,1.0192768932052063,Not a religious person
52,"Independently of whether you go to religious services or not, would you say you are:",,Q173,single_select,civic_participant,Not a religious person,"['A religious person', 'Not a religious person', 'An atheist']","[0.10653535468225926, 0.6944303996090019, 0.19903424570873887]","[0.35446985446985446, 0.5041580041580042, 0.14137214137214138]",0.21633139935139914,1.2058186137193285,Not a religious person
56,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable)",Prostitution,Q183,matrix_single_select,ai_research_assistant,5,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","[0.07629477833483433, 0.059418433111428234, 0.23500443369670984, 0.05243658317726538, 0.1110082474573827, 0.1110082474573827, 0.14253739420545924, 0.07629477833483433, 0.059418433111428234, 0.076578671113275]","[0.1932418162618796, 0.054910242872228086, 0.07497360084477296, 0.04751847940865892, 0.1562829989440338, 0.09503695881731784, 0.0791974656810982, 0.11087645195353749, 0.044350580781414996, 0.14361140443505807]",0.1958512042611098,2.387163345807914,1
56,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable)",Prostitution,Q183,matrix_single_select,survey_respondent,1,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","[0.15668554388682526, 0.0950345863011089, 0.17754798167329036, 0.04489115992222328, 0.0950345863011089, 0.0950345863011089, 0.138274507159906, 0.07401301023017062, 0.08386772804913703, 0.03961631017512079]","[0.1932418162618796, 0.054910242872228086, 0.07497360084477296, 0.04751847940865892, 0.1562829989440338, 0.09503695881731784, 0.0791974656810982, 0.11087645195353749, 0.044350580781414996, 0.14361140443505807]",0.18358555935731466,2.3748977009041186,1
56,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable)",Prostitution,Q183,matrix_single_select,values_reflection,3,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","[0.1290215890971624, 0.06906028008993732, 0.14620061409767326, 0.03262176643741263, 0.11386115274478822, 0.07825554955227422, 0.16566699970219853, 0.04746439009611556, 0.08867515491905391, 0.12917250326338398]","[0.1932418162618796, 0.054910242872228086, 0.07497360084477296, 0.04751847940865892, 0.1562829989440338, 0.09503695881731784, 0.0791974656810982, 0.11087645195353749, 0.044350580781414996, 0.14361140443505807]",0.12134302677482955,2.3126551683216334,1
56,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable)",Prostitution,Q183,matrix_single_select,ai_opinion_simulator,5,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","[0.09222404343072588, 0.09222404343072588, 0.1952383014749347, 0.049363973230527734, 0.10450353214909483, 0.10450353214909483, 0.13418519141308227, 0.07182415724186057, 0.06338459629669088, 0.09254862918326237]","[0.1932418162618796, 0.054910242872228086, 0.07497360084477296, 0.04751847940865892, 0.1562829989440338, 0.09503695881731784, 0.0791974656810982, 0.11087645195353749, 0.044350580781414996, 0.14361140443505807]",0.14842309357409517,2.3397352351208993,1
56,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable)",Prostitution,Q183,matrix_single_select,civic_participant,6,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","[0.1097707260161579, 0.05875603561697535, 0.23238460109738673, 0.0314498395584549, 0.08548952737970039, 0.07544424311600656, 0.18098130930838086, 0.040382393343807665, 0.07544424311600656, 0.1098970814471232]","[0.1932418162618796, 0.054910242872228086, 0.07497360084477296, 0.04751847940865892, 0.1562829989440338, 0.09503695881731784, 0.0791974656810982, 0.11087645195353749, 0.044350580781414996, 0.14361140443505807]",0.2179896569240769,2.409301798470881,1
57,Do you think that the New Zealand Government should or should not have the right to do each of the following?,Collect information about anyone living in New Zealand without their knowledge,Q198,matrix_single_select,ai_research_assistant,Definitely should not have the right,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']","[0.044308858954782385, 0.3369052593659624, 0.3369052593659624, 0.2818806223132929]","[0.10097087378640776, 0.24951456310679612, 0.33495145631067963, 0.3145631067961165]",0.0407988322299922,1.348877058772792,Probably should not have the right
57,Do you think that the New Zealand Government should or should not have the right to do each of the following?,Collect information about anyone living in New Zealand without their knowledge,Q198,matrix_single_select,survey_respondent,Definitely should not have the right,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']","[0.055822910208967895, 0.2914468046575201, 0.2914468046575201, 0.3612834804759918]","[0.10097087378640776, 0.24951456310679612, 0.33495145631067963, 0.3145631067961165]",0.02412154415915725,1.332199770701957,Probably should not have the right
57,Do you think that the New Zealand Government should or should not have the right to do each of the following?,Collect information about anyone living in New Zealand without their knowledge,Q198,matrix_single_select,values_reflection,Definitely should not have the right,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']","[0.0713099734350239, 0.260622612741111, 0.260622612741111, 0.4074448010827541]","[0.10097087378640776, 0.24951456310679612, 0.33495145631067963, 0.3145631067961165]",0.026908759174635418,1.3349869857174352,Probably should not have the right
57,Do you think that the New Zealand Government should or should not have the right to do each of the following?,Collect information about anyone living in New Zealand without their knowledge,Q198,matrix_single_select,ai_opinion_simulator,Probably should not have the right,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']","[0.3366129578124077, 0.06682295208952788, 0.25995113228565675, 0.3366129578124077]","[0.10097087378640776, 0.24951456310679612, 0.33495145631067963, 0.3145631067961165]",0.27074506236575,1.5788232889085498,Probably should not have the right
57,Do you think that the New Zealand Government should or should not have the right to do each of the following?,Collect information about anyone living in New Zealand without their knowledge,Q198,matrix_single_select,civic_participant,Definitely should not have the right,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']","[0.07925463412253929, 0.25993384967270156, 0.25993384967270156, 0.40087766653205764]","[0.10097087378640776, 0.24951456310679612, 0.33495145631067963, 0.3145631067961165]",0.02290127047772455,1.3309794970205244,Probably should not have the right
58,How interested would you say you are in politics?,,Q199,single_select,ai_research_assistant,Not at all interested,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']","[0.22265635641063616, 0.25230270583220826, 0.3421080774295675, 0.182932860327588]","[0.18313953488372092, 0.5058139534883721, 0.2441860465116279, 0.06686046511627906]",0.16639703054685828,1.3471605254342,Somewhat interested
58,How interested would you say you are in politics?,,Q199,single_select,survey_respondent,Very interested,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']","[0.14015533569138322, 0.09650167250584685, 0.38167149590138494, 0.38167149590138494]","[0.18313953488372092, 0.5058139534883721, 0.2441860465116279, 0.06686046511627906]",0.661396481599054,1.842159976486396,Somewhat interested
58,How interested would you say you are in politics?,,Q199,single_select,values_reflection,Not very interested,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']","[0.21921703430588604, 0.11733842293826505, 0.35235804870727905, 0.3110864940485698]","[0.18313953488372092, 0.5058139534883721, 0.2441860465116279, 0.06686046511627906]",0.5137743191961133,1.6945378140834553,Somewhat interested
58,How interested would you say you are in politics?,,Q199,single_select,ai_opinion_simulator,Not very interested,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']","[0.2530458410343615, 0.22331217092473796, 0.2942395966156589, 0.22940239142524155]","[0.18313953488372092, 0.5058139534883721, 0.2441860465116279, 0.06686046511627906]",0.2263773621090629,1.4071408569964048,Somewhat interested
58,How interested would you say you are in politics?,,Q199,single_select,civic_participant,Not very interested,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']","[0.19968011786986142, 0.19968011786986142, 0.3002734521560331, 0.300366312104244]","[0.18313953488372092, 0.5058139534883721, 0.2441860465116279, 0.06686046511627906]",0.3033546463005621,1.484118141187904,Somewhat interested
69,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?",Having the army rule,Q237,matrix_single_select,ai_research_assistant,Very bad,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']","[0.08489351789083628, 0.2896730427796985, 0.2896730427796985, 0.3357603965497667]","[0.00522466039707419, 0.018808777429467086, 0.13688610240334378, 0.8390804597701149]",0.5999131929523334,1.1215289502956722,Very bad
69,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?",Having the army rule,Q237,matrix_single_select,survey_respondent,Fairly bad,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']","[0.4046505631064853, 0.0776780206446004, 0.11302085314242898, 0.4046505631064853]","[0.00522466039707419, 0.018808777429467086, 0.13688610240334378, 0.8390804597701149]",0.5887502006390275,1.1103659579823664,Very bad
69,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?",Having the army rule,Q237,matrix_single_select,values_reflection,Very bad,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']","[0.08523994271498071, 0.21211902741740807, 0.21211902741740807, 0.4905220024502031]","[0.00522466039707419, 0.018808777429467086, 0.13688610240334378, 0.8390804597701149]",0.3303350736311195,0.8519508309744585,Very bad
69,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?",Having the army rule,Q237,matrix_single_select,ai_opinion_simulator,Fairly good,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']","[0.3946522464994174, 0.0795461211503453, 0.1311493858508199, 0.3946522464994174]","[0.00522466039707419, 0.018808777429467086, 0.13688610240334378, 0.8390804597701149]",0.5890629838211576,1.1106787411644967,Very bad
