column,informativeness,question,sub_question,response_options,controversial
Q249,0.205,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — Women have the same rights as men",Women have the same rights as men,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",True
Q50,0.204,"How satisfied are you with the financial situation of your household? Please use this scale where 1 means ""completely dissatisfied"" and 10 means ""completely satisfied"".",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', ""Don't know""]",False
Q37,0.203,How much do you agree or disagree with the following statements? — It is a duty towards society to have children,It is a duty towards society to have children,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",False
Q177,0.201,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Claiming government benefits to which you are not entitled",Claiming government benefits to which you are not entitled,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q241,0.201,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — Governments tax the rich and subsidize the poor",Governments tax the rich and subsidize the poor,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q43,0.199,"Listed below are various changes in our way of life that might take place in the near future. Please indicate whether you think each would be a good thing, a bad thing, or don't you mind? — Less importance placed on work",Less importance placed on work,"['Good thing', ""Don't mind"", 'Bad thing']",False
Q41,0.198,"How much do you agree or disagree with the following statements? — Work should always come first, even if it means less spare time","Work should always come first, even if it means less spare time","['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",False
Q100,0.197,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Professional association",Professional association,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q120,0.197,"How high is the risk in New Zealand of being held accountable for giving or receiving a bribe, gift or favour in return for public service? Please indicate your opinion on the 10 point scale below, where 1 means ""no risk at all"" and 10 means ""very high risk"".",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q131,0.195,Please tell us how secure you feel these days in your neighbourhood?,,"['Very Secure', 'Quite secure', 'Not very secure', 'Not at all secure', ""Don't know""]",False
Q142,0.194,To what degree are you worried about the following situations? — Losing my job or not finding a job,Losing my job or not finding a job,"['Very much', 'A great deal', 'Not much', 'Not at all', ""Don't know""]",False
Q228,0.193,In your view how often do each of the following things occur in New Zealand's elections? — Journalists provide fair coverage of elections,Journalists provide fair coverage of elections,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",False
Q11,0.193,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Imagination",Imagination,"['Important', 'Not mentioned']",False
Q90,0.192,"People sometimes say that international organisations should prioritise improving people's lives, even if this may imply that decisions are not made democratically. What do you think international organisations should prioritise, being effective or being democratic? If your views are somewhat mixed, choose the appropriate number in between. (1 = Being effective, 10 = Being democratic)",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q72,0.191,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Political parties",Political parties,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q132,0.19,How frequently do the following things occur in your neighbourhood? — Robberies,Robberies,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q158,0.19,"Here are some statements about science and technology. How much do you agree or disagree with each of these statements? For these questions, a 1 means that you ""completely disagree"" and a 10 means that you ""completely agree."" — Science and technology are making our lives healthier, easier, and more comfortable","Science and technology are making our lives healthier, easier, and more comfortable","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q14,0.189,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Determination, perseverance","Determination, perseverance","['Important', 'Not mentioned']",False
Q232,0.186,In your view how often do each of the following things occur in New Zealand's elections? — Voters are offered a genuine choice in the elections,Voters are offered a genuine choice in the elections,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",False
Q239,0.181,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? — Having a system governed by religious law in which there are no political parties or elections",Having a system governed by religious law in which there are no political parties or elections,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']",False
Q129,0.181,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Leads to social conflict",Leads to social conflict,"['Disagree', 'Hard to say', 'Agree']",True
Q42,0.18,Listed below are three basic kinds of attitudes concerning the society we live in. Please choose the one that best describes your own opinion.,,"['The entire way our society is organised must be radically changed by revolutionary action', 'Our society must be gradually improved by reforms', 'Our present society must be valiantly defended against all subversive forces']",False
Q166,0.18,"Which, if any, of the following do you believe in? — Life after death",Life after death,"['Yes', 'No']",False
Q135,0.179,How frequently do the following things occur in your neighbourhood? — Racist behaviour,Racist behaviour,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q146,0.179,To what degree are you worried about the following situations? — A war involving my country,A war involving my country,"['Very much', 'A great deal', 'Not much', 'Not at all', ""Don't know""]",False
Q137,0.179,How frequently do the following things occur in your neighbourhood? — Street violence and fights,Street violence and fights,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q49,0.178,"All things considered, how satisfied are you with your life as a whole these days? Please use this scale where 1 means you are ""completely dissatisfied"" and 10 means you are ""completely satisfied"".",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', ""Don't know""]",False
Q180,0.174,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Cheating on taxes",Cheating on taxes,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q140,0.174,Which of the following things have you done for reasons of security? — Preferred not to go out at night,Preferred not to go out at night,"['No', 'Yes']",False
Q247,0.173,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — The state makes people's incomes equal",The state makes people's incomes equal,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q65,0.173,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The armed forces",The armed forces,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q233,0.172,In your view how often do each of the following things occur in New Zealand's elections? — Women have equal opportunities to run for office,Women have equal opportunities to run for office,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",True
Q236,0.172,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? — Having experts, not government, make decisions according to what they think is best for the country","Having experts, not government, make decisions according to what they think is best for the country","['Very good', 'Fairly good', 'Fairly bad', 'Very bad']",False
Q209,0.17,"Here are some different forms of political action that people can take. For each one, please indicate whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it. — Signing a petition",Signing a petition,"['Have done', 'Might do', 'Would never do']",False
Q198,0.17,Do you think that the New Zealand Government should or should not have the right to do each of the following? — Collect information about anyone living in New Zealand without their knowledge,Collect information about anyone living in New Zealand without their knowledge,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']",False
Q48,0.169,"Some people feel they have completely free choice and control over their lives, while other people feel that what they do has no real effect on what happens to them. Please use this scale where 1 means ""none at all"" and 10 means ""a great deal"" to indicate how much freedom of choice and control you feel you have over the way your life turns out.",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', ""Don't know""]",False
Q143,0.168,To what degree are you worried about the following situations? — Not being able to give my children a good education,Not being able to give my children a good education,"['Very much', 'A great deal', 'Not much', 'Not at all', ""Don't know""]",False
Q248,0.166,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — People obey their rulers",People obey their rulers,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q179,0.164,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Stealing property",Stealing property,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q127,0.16,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Offers people from poorer countries a better living",Offers people from poorer countries a better living,"['Disagree', 'Hard to say', 'Agree']",True
Q150,0.159,"Most people consider both freedom and security to be important, but if you had to choose between them, which one would you consider most important?",,"['Freedom', 'Security', ""Don't know""]",False
Q139,0.159,Which of the following things have you done for reasons of security? — Didn't carry much money,Didn't carry much money,"['No', 'Yes']",False
Q174,0.159,Meaning of religion: To follow religious norms and ceremonies vs To do good to other people,,"['Follow religious norms and ceremonies', 'Do good to other people']",False
Q28,0.158,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree. — A preschool child suffers if their mother works",A preschool child suffers if their mother works,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q134,0.157,How frequently do the following things occur in your neighbourhood? — Police or military interference with people's private life,Police or military interference with people's private life,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q119,0.157,"How strongly do you agree or disagree with the following statement: ""On the whole, women are less corrupt than men""?",,"['Strongly agree', 'Agree', 'Hard to say', 'Disagree', 'Strongly disagree']",True
Q17,0.157,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Obedience",Obedience,"['Important', 'Not mentioned']",False
Q66,0.154,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The press",The press,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q159,0.154,"Here are some statements about science and technology. How much do you agree or disagree with each of these statements? For these questions, a 1 means that you ""completely disagree"" and a 10 means that you ""completely agree."" — Because of science and technology, there will be more opportunities for the next generation","Because of science and technology, there will be more opportunities for the next generation","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q138,0.153,How frequently do the following things occur in your neighbourhood? — Sexual harassment,Sexual harassment,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q4,0.152,"Please indicate, for each of the following, how important it is in your life. — Politics",Politics,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q96,0.15,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Art, music or educational organisation","Art, music or educational organisation","[""Don't belong"", 'Inactive member', 'Active member']",False
Q69,0.146,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The police",The police,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q256,0.142,People have different views about themselves and how they relate to the world. Please tell us how close you feel to... — Your region of the country where you live,Your region of the country where you live,"['Very close', 'Close', 'Not very close', 'Not close at all']",False
Q197,0.142,Do you think that the New Zealand Government should or should not have the right to do each of the following? — Monitor all emails and any other information exchanged on the internet,Monitor all emails and any other information exchanged on the internet,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']",False
Q7,0.142,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Good manners",Good manners,"['Important', 'Not mentioned']",False
Q221,0.141,"When elections take place, do you always vote, usually vote, or never vote? Please tell us separately how often you vote at a local level, and at the national level. — Local level",Local level,"['Always', 'Usually', 'Never']",False
Q151,0.14,"Of course, we all hope there will not be another war, but if it were to come to that, would you be willing to fight for your country?",,"['Yes', 'No', ""Don't know""]",False
Q47,0.138,"All in all, how would you describe your state of health these days? Would you say it is:",,"['Very good', 'Good', 'Fair', 'Poor', 'Very poor']",False
Q60,0.136,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — People you know personally,People you know personally,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q194,0.13,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Political violence",Political violence,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q259,0.129,People have different views about themselves and how they relate to the world. Please tell us how close you feel to... — The world as a whole,The world as a whole,"['Very close', 'Close', 'Not very close', 'Not close at all']",False
Q78,0.129,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Banks",Banks,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q59,0.129,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — Your neighbourhood,Your neighbourhood,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q13,0.127,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Thrift, saving money and things","Thrift, saving money and things","['Important', 'Not mentioned']",False
Q5,0.125,"Please indicate, for each of the following, how important it is in your life. — Work",Work,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q99,0.124,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Environmental organisation",Environmental organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q191,0.124,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Violence against other people",Violence against other people,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q101,0.124,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Charitable/humanitarian organisation",Charitable/humanitarian organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q222,0.123,"When elections take place, do you always vote, usually vote, or never vote? Please tell us separately how often you vote at a local level, and at the national level. — National level",National level,"['Always', 'Usually', 'Never']",False
Q56,0.12,"Comparing your standard of living with your parents' standard of living when they were about your age, would you say that you are better off, worse off, or about the same?",,"['Better off', 'About the same', 'Worse off']",False
Q206,0.117,How often do you use each of the following information sources? — Internet,Internet,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q196,0.116,Do you think that the New Zealand Government should or should not have the right to do each of the following? — Keep people under video surveillance in public areas,Keep people under video surveillance in public areas,"['Definitely should have the right', 'Probably should have the right', 'Probably should not have the right', 'Definitely should not have the right']",False
Q255,0.114,"People have different views about themselves and how they relate to the world. Please tell us how close you feel to... — Your village, town or city where you live","Your village, town or city where you live","['Very close', 'Close', 'Not very close', 'Not close at all']",False
Q207,0.113,"How often do you use each of the following information sources? — Social media (Facebook, Twitter, etc.)","Social media (Facebook, Twitter, etc.)","['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q234,0.112,Some people think that having honest elections makes a lot of difference in their lives; other people think that it does not matter much. How important would you say is having honest elections for you?,,"['Very important', 'Rather important', 'Not very important', 'Not at all important']",False
Q149,0.112,"Most people consider both freedom and equality to be important, but if you had to choose between them, which one would you consider most important?",,"['Freedom', 'Equality', ""Don't know""]",False
Q67,0.111,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Television",Television,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q95,0.109,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Sport or recreational organisation",Sport or recreational organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q254,0.108,How proud are you to be a New Zealander?,,"['Very proud', 'Quite proud', 'Not very proud', 'Not at all proud', 'I am not [nationality]', ""Don't know""]",False
Q15,0.106,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Religious faith",Religious faith,"['Important', 'Not mentioned']",False
Q40,0.106,How much do you agree or disagree with the following statements? — Work is a duty towards society,Work is a duty towards society,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",False
Q44,0.105,"Listed below are various changes in our way of life that might take place in the near future. Please indicate whether you think each would be a good thing, a bad thing, or don't you mind? — More emphasis on the development of technology",More emphasis on the development of technology,"['Good thing', ""Don't mind"", 'Bad thing']",False
Q204,0.105,"How often do you use each of the following information sources? — Mobile phone (text, apps, alerts)","Mobile phone (text, apps, alerts)","['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q58,0.104,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — Your family,Your family,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q46,0.102,"Taking all things together, would you say you are:",,"['Very happy', 'Quite happy', 'Not very happy', 'Not at all happy', ""Don't know""]",False
Q203,0.098,How often do you use each of the following information sources? — Radio news,Radio news,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q118,0.095,"How often do you think ordinary people like yourself or people from your neighbourhood have to pay a bribe, give a gift or do a favour to these people in order to get the services needed? Does it happen never, rarely, frequently or always?",,"['Never', 'Rarely', 'Frequently', 'Always']",False
Q258,0.093,People have different views about themselves and how they relate to the world. Please tell us how close you feel to... — The South Pacific,The South Pacific,"['Very close', 'Close', 'Not very close', 'Not close at all']",False
Q257,0.092,People have different views about themselves and how they relate to the world. Please tell us how close you feel to... — New Zealand as a whole,New Zealand as a whole,"['Very close', 'Close', 'Not very close', 'Not close at all']",False
Q38,0.092,How much do you agree or disagree with the following statements? — It is children's duty to take care of ill parents,It is children's duty to take care of ill parents,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",False
Q8,0.091,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Independence",Independence,"['Important', 'Not mentioned']",False
Q9,0.09,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Hard work",Hard work,"['Important', 'Not mentioned']",False
Q32,0.085,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree. — Being a housewife is just as fulfilling as working for pay",Being a housewife is just as fulfilling as working for pay,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q208,0.082,How often do you use each of the following information sources? — Talk with friends or colleagues,Talk with friends or colleagues,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q192,0.082,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Terrorism as a political, ideological, or religious means","Terrorism as a political, ideological, or religious means","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q20,0.081,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — People who have AIDS,People who have AIDS,"['Mentioned', 'Not mentioned']",False
Q181,0.08,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Someone accepting a bribe in the course of their duties",Someone accepting a bribe in the course of their duties,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q205,0.08,How often do you use each of the following information sources? — Email,Email,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q105,0.078,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Other organisation",Other organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q190,0.077,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Parents beating children",Parents beating children,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",True
Q3,0.07,"Please indicate, for each of the following, how important it is in your life. — Leisure time",Leisure time,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q22,0.07,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — Homosexuals,Homosexuals,"['Mentioned', 'Not mentioned']",True
Q10,0.067,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Feeling of responsibility",Feeling of responsibility,"['Important', 'Not mentioned']",False
Q175,0.065,Meaning of religion: To make sense of life after death vs To make sense of life in this world,,"['Make sense of life after death', 'Make sense of life in this world']",False
Q97,0.061,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Labour union",Labour union,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q12,0.059,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Tolerance and respect for other people",Tolerance and respect for other people,"['Important', 'Not mentioned']",False
Q103,0.058,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Self-help group, mutual aid group","Self-help group, mutual aid group","[""Don't belong"", 'Inactive member', 'Active member']",False
Q21,0.054,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — Immigrants/foreign workers,Immigrants/foreign workers,"['Mentioned', 'Not mentioned']",True
Q18,0.052,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — Drug addicts,Drug addicts,"['Mentioned', 'Not mentioned']",False
Q2,0.048,"Please indicate, for each of the following, how important it is in your life. — Friends",Friends,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q104,0.047,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Women's group",Women's group,"[""Don't belong"", 'Inactive member', 'Active member']",True
Q189,0.047,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — For a man to beat his wife",For a man to beat his wife,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",True
Q141,0.046,"Which of the following things have you done for reasons of security? — Carried a knife, gun or other weapon","Carried a knife, gun or other weapon","['No', 'Yes']",False
Q98,0.045,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Political party",Political party,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q26,0.034,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — People who speak a different language,People who speak a different language,"['Mentioned', 'Not mentioned']",False
Q1,0.033,"Please indicate, for each of the following, how important it is in your life. — Family",Family,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q19,0.031,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — People of a different race,People of a different race,"['Mentioned', 'Not mentioned']",False
Q102,0.026,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Consumer organisation",Consumer organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
Q16,0.018,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? — Unselfishness",Unselfishness,"['Important', 'Not mentioned']",False
Q25,0.018,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — Unmarried couples living together,Unmarried couples living together,"['Mentioned', 'Not mentioned']",False
Q24,0.015,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — Heavy drinkers,Heavy drinkers,"['Mentioned', 'Not mentioned']",False
Q23,0.014,Here are various groups of people. Could you please tick any that you would not like to have as neighbours? — People of a different religion,People of a different religion,"['Mentioned', 'Not mentioned']",False
